Obs,Folha,Ep_Emissao,Tipo,Planta,Sexo,Galho,Ep_Medicao,Idade,A,gs,E,PPFD,Ta,Tl,IdadeE,Estacoes,environment,period_label,WUE,iWUE,LUE,deltaT,bio_unit,time_idx
28,8,1,sombra,4,F,3,2,3,2.584,0.1255,2.15,43.0625,23.64,22.935,Jov_Madura,primavera,FUS,Sep 2003,1.2018604651162792,20.589641434262948,0.06000580551523948,-0.7050000000000018,4_1,3
29,8,1,sombra,4,F,3,3,5,8.3155,0.163825,1.6475,45.93,30.0925,30.9925,Jov_Madura,primavera,FUS,Nov 2003,5.047344461305007,50.758431252861286,0.18104724580883955,0.8999999999999986,4_1,5
30,8,1,sombra,4,F,3,4,7,1.0175,0.16833599999999999,2.52,15.86,28.4175,27.775,Madura,verao,FUS,Jan 2004,0.4037698412698413,6.044458701644332,0.06415510718789408,-0.6425000000000018,4_1,7
31,8,1,sombra,4,F,3,5,9,0.3698,0.20700000000000002,5.6,6.042,28.32,27.74,Madura,outono,FUS,Mar 2004,0.0660357142857143,1.7864734299516907,0.06120489904005297,-0.5800000000000018,4_1,9
32,8,1,sombra,4,F,3,6,11,1.4605000000000001,0.146,1.3,23.605,20.295,20.025,Madura,inverno,FUS,May 2004,1.1234615384615385,10.003424657534248,0.0618724846430841,-0.2700000000000031,4_1,11
33,9,1,sombra,5,M,1,2,3,3.4325,0.133275,3.0,100.335,26.545,25.765,Jov_Madura,primavera,FUS,Sep 2003,1.1441666666666668,25.75501782029638,0.03421039517615987,-0.7800000000000011,5_1,3
34,9,1,sombra,5,M,1,3,5,7.22975,0.196875,2.665,226.872,31.4275,32.3625,Jov_Madura,primavera,FUS,Nov 2003,2.7128517823639773,36.72253968253968,0.03186708804964914,0.9349999999999987,5_1,5
35,9,1,sombra,5,M,1,4,7,1.946,0.201734,2.425,26.5975,28.5525,27.3325,Madura,verao,FUS,Jan 2004,0.8024742268041237,9.646366006721722,0.07316477112510573,-1.2199999999999989,5_1,7
36,9,1,sombra,5,M,1,5,9,0.38020000000000004,0.1439,3.45,8.8865,27.355,27.06,Madura,outono,FUS,Mar 2004,0.11020289855072464,2.6421125781792916,0.04278399819951612,-0.2950000000000017,5_1,9
37,9,1,sombra,5,M,1,6,11,1.53125,0.11825000000000001,1.0,27.02,20.49,20.12,Madura,inverno,FUS,May 2004,1.53125,12.949260042283298,0.05667098445595855,-0.36999999999999744,5_1,11
38,9,1,sombra,5,M,1,7,13,2.255,0.2566,2.0,42.9125,21.08,20.6975,Velha,inverno,FUS,Jul 2004,1.1275,8.787996882307093,0.05254879114477133,-0.38249999999999673,5_1,13
39,9,1,sombra,5,M,1,8,15,1.51075,0.1303,2.575,26.6875,23.315,22.295,Velha,primavera,FUS,Sep 2004,0.5866990291262135,11.594397544128933,0.05660889929742389,-1.0199999999999996,5_1,15
40,10,1,sombra,11,M,1,2,3,3.04575,0.176025,3.925,76.125,26.55,25.76,Jov_Madura,primavera,FUS,Sep 2003,0.7759872611464969,17.30293992330635,0.04000985221674877,-0.7899999999999991,11_1,3
41,10,1,sombra,11,M,1,3,5,2.996,0.17782499999999998,2.055,16.7725,26.8725,27.0975,Jov_Madura,primavera,FUS,Nov 2003,1.4579075425790753,16.84802474342753,0.17862572663586226,0.22500000000000142,11_1,5
42,10,1,sombra,11,M,1,4,7,1.851,0.292626,3.64,35.21,27.405,26.545,Madura,verao,FUS,Jan 2004,0.5085164835164835,6.325480305919501,0.052570292530531096,-0.8599999999999994,11_1,7
43,10,1,sombra,11,M,1,5,9,0.941033,0.23813299999999998,1.9,140.24,27.1133,26.7733,Madura,outono,FUS,Mar 2004,0.4952805263157895,3.9517118584992423,0.006710161152310325,-0.33999999999999986,11_1,9
44,10,1,sombra,11,M,1,6,11,1.6825,0.1187,0.2,19.34,19.08,18.53,Madura,inverno,FUS,May 2004,8.4125,14.174389216512216,0.08699586349534644,-0.5499999999999972,11_1,11
45,10,1,sombra,11,M,1,7,13,1.1484,0.023,0.1,146.125,5.9055,6.00075,Velha,inverno,FUS,Jul 2004,11.484,49.9304347826087,0.007859024807527802,0.09525000000000006,11_1,13
46,10,1,sombra,11,M,1,8,15,1.0348,0.196825,3.75,14.5075,23.01,22.31,Velha,primavera,FUS,Sep 2004,0.2759466666666667,5.257462212625429,0.07132862312596933,-0.7000000000000028,11_1,15
47,11,1,sombra,11,M,2,2,3,6.8335,0.17225000000000001,3.25,28.27,25.37,25.655,Jov_Madura,primavera,FUS,Sep 2003,2.1026153846153846,39.67198838896952,0.24172267421294658,0.28500000000000014,11_1,3
48,11,1,sombra,11,M,2,3,5,2.7165,0.213525,1.5535,21.075,27.075,26.165,Jov_Madura,primavera,FUS,Nov 2003,1.7486321210170581,12.72216368106779,0.1288967971530249,-0.9100000000000001,11_1,5
49,11,1,sombra,11,M,2,4,7,1.2325,0.15565,2.1375,22.152,27.658,26.525,Madura,verao,FUS,Jan 2004,0.5766081871345028,7.918406681657564,0.05563831708197905,-1.1330000000000027,11_1,7
50,11,1,sombra,11,M,2,5,9,0.2404,0.19563699999999998,2.44375,7.557,27.7275,27.1625,Madura,outono,FUS,Mar 2004,0.09837340153452685,1.2288064118750546,0.03181156543601958,-0.5649999999999977,11_1,9
51,12,1,sombra,12,M,1,2,3,0.637775,0.14935,2.925,25.9875,24.235,23.695,Jov_Madura,primavera,FUS,Sep 2003,0.21804273504273505,4.2703381319049205,0.02454160654160654,-0.5399999999999991,12_1,3
52,12,1,sombra,12,M,1,3,5,0.930875,0.180175,2.08,11.8757,27.6425,27.0075,Jov_Madura,primavera,FUS,Nov 2003,0.4475360576923077,5.166504787012626,0.078384853103396,-0.634999999999998,12_1,5
53,12,1,sombra,12,M,1,4,7,1.8325,0.1605,2.525,25.435,28.785,27.985,Madura,verao,FUS,Jan 2004,0.7257425742574257,11.417445482866043,0.0720463927658738,-0.8000000000000007,12_1,7
54,12,1,sombra,12,M,1,5,9,0.0499,0.12706199999999998,1.2625,6.042,29.13,28.46,Madura,outono,FUS,Mar 2004,0.039524752475247525,0.39272166343989556,0.00825885468387951,-0.6699999999999982,12_1,9
55,12,1,sombra,12,M,1,6,11,4.71375,0.186325,0.9,16.6225,19.015,18.41,Madura,inverno,FUS,May 2004,5.2375,25.298537501677178,0.28357647766581445,-0.6050000000000004,12_1,11
56,12,1,sombra,12,M,1,7,13,2.0415,0.094375,0.25,354.875,8.82125,8.918,Velha,inverno,FUS,Jul 2004,8.166,21.631788079470198,0.0057527298344487495,0.09675000000000011,12_1,13
57,12,1,sombra,12,M,1,8,15,2.3155,0.074575,1.825,17.5375,24.0225,24.03,Velha,primavera,FUS,Sep 2004,1.2687671232876714,31.04927924907811,0.13203136136849608,0.007500000000000284,12_1,15
58,13,1,sombra,12,M,2,2,3,1.2505,0.121025,2.675,30.7975,24.5,24.07,Jov_Madura,primavera,FUS,Sep 2003,0.4674766355140187,10.332575914067341,0.04060394512541602,-0.4299999999999997,12_1,3
59,13,1,sombra,12,M,2,3,5,5.173,0.217275,1.5475,300.075,27.9,27.3575,Jov_Madura,primavera,FUS,Nov 2003,3.34281098546042,23.808537567598666,0.017239023577438974,-0.5424999999999969,12_1,5
60,13,1,sombra,12,M,2,4,7,2.255,0.20355,2.955,78.325,29.255,28.4225,Madura,verao,FUS,Jan 2004,0.7631133671742808,11.078359125521985,0.02879029684008937,-0.8324999999999996,12_1,7
61,13,1,sombra,12,M,2,5,9,0.2258,0.48635000000000006,7.85,6.045,29.6,29.46,Madura,outono,FUS,Mar 2004,0.028764331210191084,0.46427469929063425,0.037353184449958644,-0.14000000000000057,12_1,9
62,13,1,sombra,12,M,2,6,11,0.452567,0.08493,0.8,28.7433,19.3867,18.9067,Madura,inverno,FUS,May 2004,0.56570875,5.328705993170846,0.01574513016946558,-0.4800000000000004,12_1,11
63,13,1,sombra,12,M,2,7,13,2.0855,0.058374999999999996,0.525,41.5745,9.6905,9.78725,Velha,inverno,FUS,Jul 2004,3.9723809523809526,35.725910064239834,0.05016296046855645,0.09675000000000011,12_1,13
64,13,1,sombra,12,M,2,8,15,0.19540000000000002,0.0991333,2.16667,4.393,27.2333,26.5833,Velha,primavera,FUS,Sep 2004,0.09018447663926672,1.9710833796514393,0.044479854313680865,-0.6499999999999986,12_1,15
65,14,1,sombra,13,M,1,2,3,2.94,0.23402499999999998,3.475,773.325,24.11,23.55,Jov_Madura,primavera,FUS,Sep 2003,0.8460431654676258,12.562760388847346,0.0038017651052274265,-0.5599999999999987,13_1,3
66,14,1,sombra,13,M,1,3,5,6.32675,0.215825,2.38,186.325,28.18,27.58,Jov_Madura,primavera,FUS,Nov 2003,2.658298319327731,29.31425923780841,0.03395545417952502,-0.6000000000000014,13_1,5
67,14,1,sombra,13,M,1,4,7,0.842325,0.1976,2.13125,14.955,30.515,29.545,Madura,verao,FUS,Jan 2004,0.39522580645161287,4.262778340080971,0.05632397191574724,-0.9699999999999989,13_1,7
68,14,1,sombra,13,M,1,5,9,0.328233,0.18500799999999998,3.16667,71.7267,29.9533,29.6133,Madura,outono,FUS,Mar 2004,0.10365241720798189,1.7741557121854192,0.004576162014981869,-0.33999999999999986,13_1,9
69,14,1,sombra,13,M,1,6,11,0.1605,0.16345,1.9,1.36042,19.1025,18.735,Madura,inverno,FUS,May 2004,0.08447368421052633,0.9819516671765065,0.11797827141618031,-0.3674999999999997,13_1,11
70,14,1,sombra,13,M,1,7,13,0.23665000000000003,0.05675,0.45,7.016,9.105,9.201,Velha,inverno,FUS,Jul 2004,0.525888888888889,4.170044052863436,0.03373004561003421,0.09600000000000009,13_1,13
71,14,1,sombra,13,M,1,8,15,0.5084500000000001,0.113175,2.675,11.725,26.88,26.665,Velha,primavera,FUS,Sep 2004,0.19007476635514023,4.492599955820633,0.04336460554371003,-0.21499999999999986,13_1,15
72,15,2,sombra,1,F,1,2,1,0.554175,0.13905,1.925,44.18,20.63,20.24,Jovem,primavera,FUS,Sep 2003,0.28788311688311685,3.9854368932038833,0.012543571751923947,-0.39000000000000057,1_2,3
73,15,2,sombra,1,F,1,3,3,1.6054300000000001,0.350118,1.88,239.675,27.8925,26.82,Jov_Madura,primavera,FUS,Nov 2003,0.8539521276595746,4.585396923322994,0.006698362365703557,-1.072499999999998,1_2,5
74,15,2,sombra,1,F,1,4,5,0.745475,0.10795,1.425,4.56425,25.5075,25.1625,Jov_Madura,verao,FUS,Jan 2004,0.523140350877193,6.905743399722093,0.1633291340307827,-0.34499999999999886,1_2,7
75,15,2,sombra,1,F,1,5,7,0.934133,0.1394,3.46667,20.1867,25.9767,25.25,Madura,outono,FUS,Mar 2004,0.26946118321040075,6.70109756097561,0.046274675900469124,-0.726700000000001,1_2,9
76,15,2,sombra,1,F,1,6,9,0.6352,0.0683,1.075,4.836,18.91,18.52,Madura,inverno,FUS,May 2004,0.5908837209302326,9.300146412884335,0.13134822167080232,-0.39000000000000057,1_2,11
