Obs,Folha,Ep_Emissao,Tipo,Planta,Sexo,Galho,Ep_Medicao,Idade,A,gs,E,PPFD,Ta,Tl,IdadeE,Estacoes,environment,period_label,WUE,iWUE,LUE,deltaT,bio_unit,time_idx
1010,137,3,sombra,15,M,3,8,11,0.774575,0.05265,1.25,19.915,26.645,26.355,Madura,primavera,FUS,Sep 2004,0.61966,14.711775878442545,0.038894049711272916,-0.28999999999999915,15_3,15
1011,137,3,sombra,15,M,3,9,13,1.898,0.28045000000000003,5.7,23.785,29.78,28.95,Velha,primavera,FUS,Nov 2004,0.3329824561403508,6.76769477625245,0.07979819213790204,-0.8300000000000018,15_3,17
1012,137,3,sombra,15,M,3,10,15,0.7712249999999999,0.044975,0.35,19.645,26.2825,25.61,Velha,verao,FUS,Jan 2005,2.2035,17.147859922178988,0.03925808093662509,-0.6724999999999994,15_3,19
1013,137,3,sombra,15,M,3,11,17,0.7270249999999999,0.027424999999999998,0.675,25.915,29.6275,29.2425,Velha,outono,FUS,Mar 2005,1.0770740740740739,26.50957155879672,0.028054215705190042,-0.38500000000000156,15_3,21
1014,137,3,sombra,15,M,3,12,19,0.5312,0.083925,0.525,4.808,13.0325,12.6875,Velha,inverno,FUS,May 2005,1.0118095238095237,6.329460828120346,0.11048252911813644,-0.34500000000000064,15_3,23
1015,138,4,sol,16,F,1,4,1,11.8025,0.285725,7.25,1005.47,31.15,31.49,Jovem,verao,MO,Jan 2004,1.6279310344827587,41.30720097996325,0.011738291545247496,0.33999999999999986,16_4,7
1016,138,4,sol,16,F,1,5,3,4.405,0.15487499999999998,2.8,222.475,33.0,32.44,Jov_Madura,outono,MO,Mar 2004,1.573214285714286,28.442292171105734,0.01979997752556467,-0.5600000000000023,16_4,9
1017,138,4,sol,16,F,1,6,5,5.5885,0.2877,3.1,151.4,18.3775,18.0425,Madura,inverno,MO,May 2004,1.802741935483871,19.424748001390334,0.03691215323645971,-0.33500000000000085,16_4,11
1018,138,4,sol,16,F,1,7,7,6.8105,0.147025,2.125,111.64,20.245,19.2325,Madura,inverno,MO,Jul 2004,3.204941176470588,46.322054072436664,0.06100412038695808,-1.0124999999999993,16_4,13
1019,138,4,sol,16,F,1,8,9,9.17775,0.182575,3.5,1503.75,21.6775,23.055,Madura,primavera,MO,Sep 2004,2.6222142857142856,50.268382856360404,0.006103241895261845,1.3775000000000013,16_4,15
1020,138,4,sol,16,F,1,9,11,9.60725,0.18867499999999998,4.075,506.275,24.36,24.1125,Madura,primavera,MO,Nov 2004,2.3576073619631903,50.91957069034054,0.01897634684706928,-0.24749999999999872,16_4,17
1021,139,4,sol,16,F,2,4,1,13.2975,0.257225,5.5,602.275,30.135,30.0375,Jovem,verao,MO,Jan 2004,2.4177272727272725,51.6959860044708,0.022078784608359967,-0.09750000000000014,16_4,7
1022,139,4,sol,16,F,2,5,3,0.9759500000000001,0.24398799999999998,3.56875,335.95,33.63,32.345,Jov_Madura,outono,MO,Mar 2004,0.27347110332749563,3.999991802875552,0.002905045393659771,-1.2850000000000037,16_4,9
1023,139,4,sol,16,F,2,6,5,3.977,0.21862499999999999,2.6,128.4,18.9025,18.495,Madura,inverno,MO,May 2004,1.5296153846153846,18.190966266437965,0.030973520249221183,-0.40749999999999886,16_4,11
1024,139,4,sol,16,F,2,7,7,9.40575,0.18330000000000002,3.5,1249.7,22.3175,24.1025,Madura,inverno,MO,Jul 2004,2.6873571428571426,51.31342062193125,0.0075264063375210044,1.7850000000000001,16_4,13
1025,139,4,sol,16,F,2,8,9,10.8925,0.141175,3.575,1745.0,24.6575,25.5325,Madura,primavera,MO,Sep 2004,3.0468531468531466,77.15601204179211,0.006242120343839541,0.875,16_4,15
1026,139,4,sol,16,F,2,9,11,9.4055,0.16540000000000002,3.95,587.275,24.7175,24.6025,Madura,primavera,MO,Nov 2004,2.381139240506329,56.8651753325272,0.016015495296070836,-0.11500000000000199,16_4,17
1027,140,4,sol,16,F,3,4,1,11.645,0.2033,5.975,422.425,30.2525,30.4525,Jovem,verao,MO,Jan 2004,1.9489539748953975,57.279881947860304,0.027567023732023434,0.1999999999999993,16_4,7
1028,140,4,sol,16,F,3,5,3,6.32125,0.196375,2.11875,178.5,30.325,29.8425,Jov_Madura,outono,MO,Mar 2004,2.983480825958702,32.18968809675366,0.035413165266106446,-0.48249999999999815,16_4,9
1029,140,4,sol,16,F,3,6,5,6.5355,0.32292499999999996,3.775,110.975,19.08,18.325,Madura,inverno,MO,May 2004,1.7312582781456953,20.238445459472015,0.05889164226177067,-0.754999999999999,16_4,11
1030,140,4,sol,16,F,3,7,7,10.6812,0.270625,4.2,416.663,22.935,21.3925,Madura,inverno,MO,Jul 2004,2.543142857142857,39.46863741339492,0.02563510558892918,-1.5425000000000004,16_4,13
1031,140,4,sol,16,F,3,8,9,10.555,0.1474,3.75,541.725,25.1975,24.72,Madura,primavera,MO,Sep 2004,2.8146666666666667,71.60786974219809,0.019484055563247032,-0.4775000000000027,16_4,15
1032,140,4,sol,16,F,3,9,11,11.4375,0.172375,6.375,1665.5,27.2425,30.7325,Madura,primavera,MO,Nov 2004,1.7941176470588236,66.35242929659174,0.0068673071149804865,3.490000000000002,16_4,17
1033,140,4,sol,16,F,3,10,13,5.11175,0.11817499999999999,3.075,234.655,34.44,33.565,Velha,verao,MO,Jan 2005,1.6623577235772355,43.25576475565898,0.021784108584943854,-0.875,16_4,19
1034,140,4,sol,16,F,3,11,15,2.406,0.128475,3.1,30.9775,27.9725,26.4825,Velha,outono,MO,Mar 2005,0.7761290322580645,18.727378867483946,0.07766927608748286,-1.4899999999999984,16_4,21
1035,140,4,sol,16,F,3,12,17,1.8567500000000001,0.108525,2.50147,12.6975,14.4625,13.7775,Velha,inverno,MO,May 2005,0.7422635490331686,17.10896106887814,0.14622957275054146,-0.6850000000000005,16_4,23
1036,141,4,sol,17,F,1,4,1,13.045,0.32942499999999997,4.17,2299.0,32.6175,35.3525,Jovem,verao,MO,Jan 2004,3.128297362110312,39.59930181376642,0.005674206176598521,2.7349999999999994,17_4,7
1037,141,4,sol,17,F,1,5,3,12.1698,0.303975,7.275,419.4,27.2525,27.445,Jov_Madura,outono,MO,Mar 2004,1.6728247422680411,40.03552923760178,0.02901716738197425,0.192499999999999,17_4,9
1038,141,4,sol,17,F,1,6,5,7.736,0.2726,3.125,144.975,19.26,18.9175,Madura,inverno,MO,May 2004,2.47552,28.37857666911225,0.05336092429729264,-0.34250000000000114,17_4,11
1039,141,4,sol,17,F,1,7,7,1.927,0.148475,2.25,25.7,21.555,20.19,Madura,inverno,MO,Jul 2004,0.8564444444444445,12.97861592860751,0.07498054474708171,-1.3649999999999984,17_4,13
1040,141,4,sol,17,F,1,8,9,4.2265,0.09545000000000001,3.0,1306.93,26.2325,27.4025,Madura,primavera,MO,Sep 2004,1.4088333333333332,44.27972760607647,0.0032339145937425873,1.1699999999999982,17_4,15
1041,141,4,sol,17,F,1,9,11,5.73575,0.2121,5.875,340.9,28.9325,28.0725,Madura,primavera,MO,Nov 2004,0.9762978723404256,27.042668552569545,0.016825315341742447,-0.8599999999999994,17_4,17
1042,141,4,sol,17,F,1,10,13,0.43720000000000003,0.1253,2.4,143.8,33.08,31.24,Velha,verao,MO,Jan 2005,0.1821666666666667,3.489225857940942,0.0030403337969401945,-1.8399999999999999,17_4,19
1043,141,4,sol,17,F,1,11,15,0.330625,0.05135000000000001,1.375,3.74775,27.7625,26.8725,Velha,outono,MO,Mar 2005,0.24045454545454545,6.4386562804284315,0.0882195984257221,-0.8900000000000006,17_4,21
1044,142,4,sol,17,F,2,4,1,7.782,0.288125,6.925,79.185,33.0575,31.7675,Jovem,verao,MO,Jan 2004,1.1237545126353792,27.009110629067244,0.09827618867209699,-1.2899999999999991,17_4,7
1045,142,4,sol,17,F,2,5,3,15.6375,0.40145000000000003,7.75,453.2,27.4225,26.5675,Jov_Madura,outono,MO,Mar 2004,2.017741935483871,38.95254701706314,0.03450463371579876,-0.8550000000000004,17_4,9
1046,142,4,sol,17,F,2,6,5,7.44075,0.2863,2.9,120.24,19.3425,18.8725,Madura,inverno,MO,May 2004,2.565775862068966,25.989346838980094,0.06188248502994013,-0.4700000000000024,17_4,11
1047,142,4,sol,17,F,2,7,7,1.35925,0.155325,2.125,16.9225,20.7625,19.665,Madura,inverno,MO,Jul 2004,0.6396470588235295,8.751005955255112,0.08032205643374207,-1.0975000000000001,17_4,13
1048,142,4,sol,17,F,2,8,9,6.3905,0.19545,3.875,1161.55,24.8125,23.6925,Madura,primavera,MO,Sep 2004,1.6491612903225807,32.696341775390124,0.00550170031423529,-1.120000000000001,17_4,15
1049,142,4,sol,17,F,2,9,11,1.82,0.1302,4.125,13.9025,29.8725,28.2275,Madura,primavera,MO,Nov 2004,0.4412121212121212,13.978494623655914,0.13091170652760295,-1.6449999999999996,17_4,17
1050,142,4,sol,17,F,2,10,13,0.9528329999999999,0.17676699999999998,2.83333,20.1767,31.3767,30.1267,Velha,verao,MO,Jan 2005,0.3362943956404654,5.390333037275057,0.047224422229601465,-1.25,17_4,19
1051,143,4,sol,19,F,1,4,1,12.045,0.312975,7.05,754.175,33.0275,31.575,Jovem,verao,MO,Jan 2004,1.7085106382978723,38.4855020369039,0.015971094242052574,-1.4525000000000041,19_4,7
1052,143,4,sol,19,F,1,5,3,12.065,0.271825,6.025,591.7,27.7225,27.23,Jov_Madura,outono,MO,Mar 2004,2.0024896265560166,44.38517428492597,0.0203904005408146,-0.4924999999999997,19_4,9
1053,143,4,sol,19,F,1,6,5,8.1705,0.34862499999999996,4.65,248.65,22.4725,21.635,Madura,inverno,MO,May 2004,1.7570967741935484,23.436357117246327,0.03285944098129902,-0.8374999999999986,19_4,11
1054,143,4,sol,19,F,1,7,7,4.516,0.135075,2.825,40.5925,24.7925,24.63,Madura,inverno,MO,Jul 2004,1.59858407079646,33.43327780862484,0.11125207858594567,-0.16250000000000142,19_4,13
1055,143,4,sol,19,F,1,8,9,3.9345,0.13265000000000002,3.1,31.19,26.0075,24.735,Madura,primavera,MO,Sep 2004,1.2691935483870966,29.6607614021862,0.12614620070535426,-1.2725000000000009,19_4,15
1056,143,4,sol,19,F,1,9,11,0.667275,0.14912499999999998,4.275,2.05525,27.8175,26.7175,Madura,primavera,MO,Nov 2004,0.15608771929824558,4.474601844090528,0.32466853180878236,-1.0999999999999979,19_4,17
1057,143,4,sol,19,F,1,10,13,6.76925,0.03705,0.6,276.825,32.165,32.095,Velha,verao,MO,Jan 2005,11.282083333333334,182.70580296896088,0.024453174388151363,-0.07000000000000028,19_4,19
1058,143,4,sol,19,F,1,11,15,1.4571800000000001,0.234725,5.675,10.937,28.8,26.8725,Velha,outono,MO,Mar 2005,0.2567718061674009,6.208030674193206,0.1332339764103502,-1.927500000000002,19_4,21
1059,143,4,sol,19,F,1,12,17,2.57175,0.106975,2.6200200000000002,24.9775,15.4675,14.8375,Velha,inverno,MO,May 2005,0.9815764765154464,24.040663706473477,0.10296266639975979,-0.629999999999999,19_4,23
1062,146,4,sol,21,M,2,4,1,4.72525,0.20315000000000003,3.85,77.35,32.3125,31.38,Jovem,verao,MO,Jan 2004,1.2273376623376624,23.25990647304947,0.06108920491273433,-0.932500000000001,21_4,7
1063,146,4,sol,21,M,2,5,3,5.87075,0.251975,5.675,34.8175,31.5275,30.3925,Jov_Madura,outono,MO,Mar 2004,1.0344933920704846,23.298938386744716,0.16861492065771522,-1.1350000000000016,21_4,9
1064,146,4,sol,21,M,2,6,5,2.68925,0.2082,1.95,49.27,20.4625,19.845,Madura,inverno,MO,May 2004,1.379102564102564,12.916666666666666,0.05458189567688248,-0.6174999999999997,21_4,11
1065,146,4,sol,21,M,2,7,7,1.13325,0.148025,2.525,21.155,22.6975,21.545,Madura,inverno,MO,Jul 2004,0.4488118811881189,7.6558013849012,0.05356889624202316,-1.1524999999999999,21_4,13
1066,146,4,sol,21,M,2,8,9,3.1815,0.179775,4.0,33.7925,24.735,22.8075,Madura,primavera,MO,Sep 2004,0.795375,17.69712140175219,0.0941481097876748,-1.9274999999999984,21_4,15
1067,146,4,sol,21,M,2,9,11,1.7085000000000001,0.24767499999999998,5.175,28.3775,26.185,23.8575,Madura,primavera,MO,Nov 2004,0.3301449275362319,6.89815282123751,0.0602061492379526,-2.327499999999997,21_4,17
1068,146,4,sol,21,M,2,10,13,3.79575,0.141175,2.9,29.0,32.775,31.4725,Velha,verao,MO,Jan 2005,1.3088793103448275,26.886842571276784,0.13088793103448276,-1.3024999999999984,21_4,19
1069,146,4,sol,21,M,2,11,15,4.57775,0.351025,5.075,59.0625,28.905,27.645,Velha,outono,MO,Mar 2005,0.9020197044334975,13.041093939178122,0.0775068783068783,-1.2600000000000016,21_4,21
1070,147,4,sol,22,F,2,4,1,9.11675,0.28735000000000005,5.9,484.025,30.03,28.8575,Jovem,verao,MO,Jan 2004,1.5452118644067796,31.726987993735854,0.018835287433500335,-1.1724999999999994,22_4,7
1071,147,4,sol,22,F,2,5,3,5.45625,0.30615000000000003,4.3875,128.65,27.64,26.8325,Jov_Madura,outono,MO,Mar 2004,1.2435897435897434,17.82214600685938,0.04241158181111543,-0.807500000000001,22_4,9
1072,147,4,sol,22,F,2,6,5,5.39125,0.23815000000000003,3.025,120.75,16.7525,16.025,Madura,inverno,MO,May 2004,1.7822314049586778,22.638043250052487,0.044648033126294,-0.7275000000000027,22_4,11
1073,147,4,sol,22,F,2,7,7,3.582,0.46680000000000005,7.025,76.93,22.6375,21.485,Madura,inverno,MO,Jul 2004,0.5098932384341637,7.673521850899742,0.04656180943715065,-1.1524999999999999,22_4,13
1074,147,4,sol,22,F,2,8,9,2.3555,0.089325,2.2,43.98,25.1675,23.755,Madura,primavera,MO,Sep 2004,1.070681818181818,26.36999720123146,0.053558435652569354,-1.4125000000000014,22_4,15
1075,147,4,sol,22,F,2,9,11,2.03275,0.15475000000000003,5.425,38.515,32.4225,30.925,Madura,primavera,MO,Nov 2004,0.3747004608294931,13.135702746365103,0.05277813838764118,-1.4974999999999987,22_4,17
1076,147,4,sol,22,F,2,10,13,1.7695,0.04685,1.0,119.35,31.905,31.26,Velha,verao,MO,Jan 2005,1.7695,37.769477054429025,0.01482614160033515,-0.6449999999999996,22_4,19
1077,148,4,sol,22,F,3,4,1,10.1073,0.2901,6.425,500.875,29.645,28.7325,Jovem,verao,MO,Jan 2004,1.5731206225680936,34.84074457083764,0.02017928624906414,-0.9124999999999979,22_4,7
1078,148,4,sol,22,F,3,5,3,6.22525,0.30710000000000004,4.325,167.0,28.4075,27.32,Jov_Madura,outono,MO,Mar 2004,1.4393641618497108,20.271084337349397,0.03727694610778443,-1.0874999999999986,22_4,9
1079,148,4,sol,22,F,3,6,5,4.99275,0.21767499999999998,2.475,151.85,17.2075,16.8875,Madura,inverno,MO,May 2004,2.017272727272727,22.936717583553467,0.03287948633519921,-0.3200000000000003,22_4,11
1080,148,4,sol,22,F,3,7,7,2.28175,0.2436,3.15,42.65,22.4375,20.075,Madura,inverno,MO,Jul 2004,0.7243650793650794,9.366789819376027,0.05349941383352873,-2.3625000000000007,22_4,13
1081,148,4,sol,22,F,3,8,9,4.75675,0.087825,3.4,1216.47,28.465,31.24,Madura,primavera,MO,Sep 2004,1.399044117647059,54.16168516937091,0.003910289608457258,2.7749999999999986,22_4,15
1082,148,4,sol,22,F,3,9,11,7.4115,0.157125,7.85,1983.25,35.6675,37.13,Madura,primavera,MO,Nov 2004,0.9441401273885351,47.169451073985684,0.003737047775116602,1.4625000000000057,22_4,17
1083,148,4,sol,22,F,3,10,13,4.908,0.054575,0.825,408.45,31.275,31.075,Velha,verao,MO,Jan 2005,5.94909090909091,89.93128721942283,0.012016158648549395,-0.1999999999999993,22_4,19
1084,148,4,sol,22,F,3,11,15,1.3000800000000001,0.16272499999999998,1.9,23.9375,27.725,26.6325,Velha,outono,MO,Mar 2005,0.6842526315789474,7.989430019972348,0.054311436031331595,-1.0925000000000011,22_4,21
1085,148,4,sol,22,F,3,12,17,0.5447500000000001,0.09515000000000001,1.4948000000000001,6.7135,14.4975,13.5325,Velha,inverno,MO,May 2005,0.36443002408348946,5.725170782974251,0.08114247411931184,-0.9649999999999999,22_4,23
1086,149,4,sol,23,F,1,4,1,8.80025,0.25337499999999996,6.15,532.6,29.555,28.7625,Jovem,verao,MO,Jan 2004,1.4309349593495935,34.73211642821905,0.016523188133683815,-0.7925000000000004,23_4,7
1087,149,4,sol,23,F,1,5,3,7.18475,0.40573699999999996,3.45,186.4,23.755,23.2825,Jov_Madura,outono,MO,Mar 2004,2.082536231884058,17.70789945210814,0.038544796137339056,-0.47250000000000014,23_4,9
1088,150,4,sol,23,F,2,4,1,10.0153,0.3007,7.525,520.6,33.15,32.46,Jovem,verao,MO,Jan 2004,1.3309368770764118,33.3066178915863,0.01923799462159047,-0.6899999999999977,23_4,7
1089,150,4,sol,23,F,2,5,3,5.8985,0.40136299999999997,4.3125,188.875,24.6775,23.87,Jov_Madura,outono,MO,Mar 2004,1.367768115942029,14.69617279121394,0.03122964923891463,-0.8074999999999974,23_4,9
1090,150,4,sol,23,F,2,6,5,5.481,0.2248,3.5,5.71525,17.945,17.4275,Madura,inverno,MO,May 2004,1.566,24.381672597864767,0.9590131665281483,-0.5175000000000018,23_4,11
1091,150,4,sol,23,F,2,7,7,5.445,0.155975,3.375,571.075,16.05,14.6725,Madura,inverno,MO,Jul 2004,1.6133333333333335,34.90944061548325,0.009534649564417984,-1.3775000000000013,23_4,13
1092,150,4,sol,23,F,2,8,9,12.63,0.26080000000000003,6.275,710.75,26.9825,26.285,Madura,primavera,MO,Sep 2004,2.0127490039840636,48.42791411042945,0.017769961308476964,-0.6975000000000016,23_4,15
1093,150,4,sol,23,F,2,9,11,6.49125,0.21180000000000002,6.325,81.24,30.7725,29.725,Madura,primavera,MO,Nov 2004,1.0262845849802371,30.648016997167137,0.07990214180206795,-1.0474999999999994,23_4,17
1094,150,4,sol,23,F,2,10,13,2.342,0.0761333,1.9,96.3033,32.4867,31.44,Velha,verao,MO,Jan 2005,1.2326315789473685,30.761834834428562,0.024319000491156588,-1.0466999999999977,23_4,19
1095,150,4,sol,23,F,2,11,15,0.8739,0.12560000000000002,1.475,76.1125,26.2625,25.27,Velha,outono,MO,Mar 2005,0.5924745762711864,6.9578025477707,0.011481688290359665,-0.9924999999999997,23_4,21
1096,150,4,sol,23,F,2,12,17,0.3575,0.055066699999999996,0.623263,6.248,15.2033,14.433300000000001,Velha,inverno,MO,May 2005,0.5735941328139164,6.492126820746477,0.05721830985915492,-0.7699999999999996,23_4,23
1097,151,4,sol,25,M,2,4,1,9.5115,0.321625,6.1,346.8,28.3325,27.6125,Jovem,verao,MO,Jan 2004,1.5592622950819672,29.57326078507579,0.027426470588235292,-0.7199999999999989,25_4,7
1098,151,4,sol,25,M,2,5,3,11.0675,0.346675,4.1375,476.9,28.47,28.0025,Jov_Madura,outono,MO,Mar 2004,2.674924471299094,31.92471334823682,0.023207171314741037,-0.4674999999999976,25_4,9
1099,151,4,sol,25,M,2,6,5,7.27225,0.223662,4.25,194.525,19.1225,18.4625,Madura,inverno,MO,May 2004,1.7111176470588234,32.51446378911035,0.037384654928672406,-0.6600000000000001,25_4,11
1100,151,4,sol,25,M,2,7,7,9.002,0.402725,3.675,1088.2,18.7,18.945,Madura,inverno,MO,Jul 2004,2.44952380952381,22.352722080824385,0.008272376401396803,0.245000000000001,25_4,13
1101,151,4,sol,25,M,2,8,9,9.7305,0.2139,6.075,108.475,28.775,28.1225,Madura,primavera,MO,Sep 2004,1.6017283950617283,45.49088359046283,0.0897026964738419,-0.6524999999999999,25_4,15
1102,151,4,sol,25,M,2,9,11,4.2555,0.2539,1.015,832.05,33.5475,34.9775,Madura,primavera,MO,Nov 2004,4.192610837438424,16.76053564395431,0.005114476293491978,1.4299999999999997,25_4,17
1103,151,4,sol,25,M,2,10,13,4.25725,0.076775,1.975,214.932,33.92,33.7775,Velha,verao,MO,Jan 2005,2.1555696202531642,55.450993161836536,0.01980742746543093,-0.1424999999999983,25_4,19
1104,152,4,sol,30,M,2,4,1,5.3015,0.149,2.3,104.107,30.0225,29.8175,Jovem,verao,MO,Jan 2004,2.305,35.580536912751676,0.05092356902033485,-0.20500000000000185,30_4,7
1105,152,4,sol,30,M,2,5,3,8.65225,0.36605000000000004,1.9,253.55,27.7925,27.05,Jov_Madura,outono,MO,Mar 2004,4.553815789473685,23.636798251604972,0.03412443305068034,-0.7424999999999997,30_4,9
1106,152,4,sol,30,M,2,6,5,8.3505,0.16877499999999998,3.4,1514.75,22.945,25.4725,Madura,inverno,MO,May 2004,2.456029411764706,49.477114501555334,0.00551279088958574,2.5275,30_4,11
1107,152,4,sol,30,M,2,7,7,1.5325,0.07415000000000001,0.4,45.58,10.5775,10.6825,Madura,inverno,MO,Jul 2004,3.83125,20.667565745111258,0.03362220272049144,0.10499999999999865,30_4,13
1108,152,4,sol,30,M,2,8,9,3.538,0.14930000000000002,2.825,513.05,26.56,25.43,Madura,primavera,MO,Sep 2004,1.2523893805309734,23.69725385130609,0.00689601403371991,-1.129999999999999,30_4,15
1109,152,4,sol,30,M,2,9,11,1.8815,0.267025,0.835,68.6,34.8075,33.285,Madura,primavera,MO,Nov 2004,2.253293413173653,7.04615672689823,0.02742711370262391,-1.5225000000000009,30_4,17
1110,152,4,sol,30,M,2,10,13,4.366,0.19547499999999998,5.45,251.675,35.3125,34.6575,Velha,verao,MO,Jan 2005,0.8011009174311926,22.33533699961632,0.017347769941392668,-0.6550000000000011,30_4,19
1111,152,4,sol,30,M,2,11,15,2.33325,0.11477499999999999,1.775,81.1875,27.1275,26.1325,Velha,outono,MO,Mar 2005,1.3145070422535212,20.328904378131128,0.028739030023094688,-0.995000000000001,30_4,21
1112,152,4,sol,30,M,2,12,17,1.48,0.039875,0.166497,163.25,15.2925,14.6675,Velha,inverno,MO,May 2005,8.889049051934869,37.11598746081505,0.009065849923430321,-0.625,30_4,23
1113,153,4,sombra,2,M,2,4,1,1.783,0.15842499999999998,3.525,25.265,27.29,26.4825,Jovem,verao,FUS,Jan 2004,0.5058156028368794,11.254536847088529,0.07057193746289332,-0.8074999999999974,2_4,7
1114,153,4,sombra,2,M,2,5,3,2.7165,0.180425,4.575,37.0675,27.41,26.7475,Jov_Madura,outono,FUS,Mar 2004,0.5937704918032787,15.056117500346403,0.07328522290416133,-0.6625000000000014,2_4,9
1115,153,4,sombra,2,M,2,6,5,1.485,0.09745000000000001,1.375,14.235,18.985,18.2975,Jov_Madura,inverno,FUS,May 2004,1.08,15.238583889173935,0.10432033719704954,-0.6875,2_4,11
1116,153,4,sombra,2,M,2,7,7,3.548,0.22965000000000002,1.9,54.1,20.165,19.7275,Madura,inverno,FUS,Jul 2004,1.8673684210526318,15.449597213150446,0.0655822550831793,-0.4375,2_4,13
1117,153,4,sombra,2,M,2,8,9,10.3062,0.175875,3.175,352.575,21.535,21.045,Madura,primavera,FUS,Sep 2004,3.2460472440944885,58.599573560767595,0.02923122739842587,-0.48999999999999844,2_4,15
1118,153,4,sombra,2,M,2,9,11,2.2855,0.3057,4.225,34.1525,22.2475,21.1325,Madura,primavera,FUS,Nov 2004,0.5409467455621302,7.476283938501798,0.06692043042237024,-1.1149999999999984,2_4,17
1119,153,4,sombra,2,M,2,10,13,0.69815,0.093525,0.975,17.8,27.5125,27.0125,Velha,verao,FUS,Jan 2005,0.7160512820512821,7.4648489708634065,0.03922191011235955,-0.5,2_4,19
1120,153,4,sombra,2,M,2,11,15,4.023,0.093275,0.9,10.9983,23.1875,23.3225,Velha,outono,FUS,Mar 2005,4.47,43.13052800857679,0.36578380295136514,0.13500000000000156,2_4,21
1121,153,4,sombra,2,M,2,12,17,1.67675,0.33240000000000003,1.375,42.62,22.2825,21.795,Velha,inverno,FUS,May 2005,1.2194545454545453,5.044374247894103,0.039341858282496485,-0.48749999999999716,2_4,23
1122,154,4,sombra,2,M,3,4,1,1.0479,0.089375,2.5,18.6775,28.2125,27.6075,Jovem,verao,FUS,Jan 2004,0.41916000000000003,11.724755244755245,0.05610493909784501,-0.6049999999999969,2_4,7
1123,154,4,sombra,2,M,3,5,3,1.16175,0.13315000000000002,3.625,28.17,27.49,26.5025,Jov_Madura,outono,FUS,Mar 2004,0.32048275862068965,8.725122042808861,0.041240681576144834,-0.9874999999999972,2_4,9
1124,154,4,sombra,2,M,3,6,5,3.05,0.18609399999999998,1.05938,39.465,20.0575,19.5,Jov_Madura,inverno,FUS,May 2004,2.8790424587966545,16.38956656313476,0.0772836690738629,-0.557500000000001,2_4,11
1125,154,4,sombra,2,M,3,7,7,4.56575,0.11032499999999999,0.975,103.478,20.8675,20.7375,Madura,inverno,FUS,Jul 2004,4.682820512820514,41.38454566054838,0.04412290535186224,-0.129999999999999,2_4,13
1126,154,4,sombra,2,M,3,8,9,7.354,0.106125,2.225,780.9,23.2325,24.4675,Madura,primavera,FUS,Sep 2004,3.3051685393258428,69.29564193168434,0.0094173389678576,1.2349999999999994,2_4,15
1127,154,4,sombra,2,M,3,9,11,3.971,0.172075,2.2,74.51,22.3,21.2275,Madura,primavera,FUS,Nov 2004,1.805,23.077146593055353,0.05329485975036907,-1.0725000000000016,2_4,17
1128,154,4,sombra,2,M,3,10,13,1.08358,0.07392499999999999,0.975,20.6625,28.3275,27.905,Velha,verao,FUS,Jan 2005,1.1113641025641026,14.657828880622255,0.05244186327888687,-0.42249999999999943,2_4,19
1129,154,4,sombra,2,M,3,11,15,0.47795000000000004,0.0794,0.65,9.669,23.105,22.255,Velha,outono,FUS,Mar 2005,0.7353076923076923,6.019521410579346,0.049431171786120595,-0.8500000000000014,2_4,21
1130,154,4,sombra,2,M,3,12,17,0.7552749999999999,0.1318,0.8,21.465,22.8025,22.38,Velha,inverno,FUS,May 2005,0.9440937499999998,5.73046282245827,0.03518634987188446,-0.42249999999999943,2_4,23
1131,155,4,sombra,3,F,2,4,1,1.286,0.21385,4.35,20.25,28.18,26.87,Jovem,verao,FUS,Jan 2004,0.295632183908046,6.013560907177928,0.06350617283950617,-1.3099999999999987,3_4,7
1132,155,4,sombra,3,F,2,5,3,1.578,0.1966,5.075,26.8925,28.1875,27.5275,Jov_Madura,outono,FUS,Mar 2004,0.310935960591133,8.026449643947101,0.05867807009389236,-0.6600000000000001,3_4,9
1133,155,4,sombra,3,F,2,6,5,2.25225,0.18467499999999998,1.4,32.765,19.7475,19.4675,Jov_Madura,inverno,FUS,May 2004,1.6087500000000001,12.195749289292001,0.06873950862200519,-0.2799999999999976,3_4,11
1134,155,4,sombra,3,F,2,7,7,1.9995,0.167125,1.45,26.2625,20.8375,20.4475,Madura,inverno,FUS,Jul 2004,1.3789655172413795,11.964098728496635,0.07613517372679676,-0.389999999999997,3_4,13
1135,155,4,sombra,3,F,2,8,9,3.48775,0.203125,4.325,14.9975,24.365,23.38,Madura,primavera,FUS,Sep 2004,0.8064161849710982,17.170461538461538,0.23255542590431738,-0.9849999999999994,3_4,15
1136,155,4,sombra,3,F,2,9,11,1.2517,0.05075,1.325,4.171,26.3625,25.725,Madura,primavera,FUS,Nov 2004,0.9446792452830189,24.664039408866994,0.30009590026372573,-0.6374999999999993,3_4,17
1137,155,4,sombra,3,F,2,10,13,0.6980500000000001,0.07265,1.025,16.9525,28.61,28.0475,Velha,verao,FUS,Jan 2005,0.6810243902439026,9.608396421197522,0.041176817578528244,-0.5625,3_4,19
1138,155,4,sombra,3,F,2,11,15,0.7228500000000001,0.09185,0.7,11.2725,22.5425,21.6525,Velha,outono,FUS,Mar 2005,1.0326428571428574,7.869896570495374,0.06412508316699934,-0.8900000000000006,3_4,21
