plant_id,axis_id,environment,sex,obs,time_idx,year,GDD,Tmax,Tmin,night_hours,precip_monthly,DTR,PAR_midday,DLI,RFR_midday,PAR_morning,PAR_afternoon,RFR_morning,RFR_afternoon,is_cresc,phase_3class,phase_label,elongation,metamer_emission,leaf_increase,leaf_area_increase,leaf_shed,is_male,is_MO
1,P1_FUS_G2,FUS,M,O2,1,1,282.1,18.87,9.94,13.418279569892475,92.9,9.058064516129035,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_FUS_G3,FUS,M,O2,1,1,282.1,18.87,9.94,13.418279569892475,92.9,9.058064516129035,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_MO_G1,MO,F,O3,2,1,326.2,21.57,10.18,12.839247311827956,73.7,11.245161290322581,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_MO_G2,MO,F,O3,2,1,326.2,21.57,10.18,12.839247311827956,73.7,11.245161290322581,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_MO_G3,MO,F,O3,2,1,326.2,21.57,10.18,12.839247311827956,73.7,11.245161290322581,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,0.0,0.0,0.0,0.0,0.0,0,1
1,P1_FUS_G1,FUS,M,O3,2,1,326.2,21.57,10.18,12.839247311827956,73.7,11.245161290322581,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,1.1,4.0,0.0,0.0,6.0,1,0
1,P1_FUS_G2,FUS,M,O3,2,1,326.2,21.57,10.18,12.839247311827956,73.7,11.245161290322581,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_FUS_G3,FUS,M,O3,2,1,326.2,21.57,10.18,12.839247311827956,73.7,11.245161290322581,168.69500000000002,5.280435,0.6713425555555556,47.088913043478264,120.765,0.7038765217391305,0.7234356060606061,0,0,Rest,0.0,0.0,0.0,0.0,0.0,1,0
1,P1_MO_G1,MO,F,O5,3,1,281.7,20.17,8.61,12.069444444444445,31.5,11.493333333333336,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,5.9,22.0,5.0,19.8,17.0,0,1
1,P1_MO_G2,MO,F,O5,3,1,281.7,20.17,8.61,12.069444444444445,31.5,11.493333333333336,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,9.3,24.0,8.0,72.55,16.0,0,1
1,P1_MO_G3,MO,F,O5,3,1,281.7,20.17,8.61,12.069444444444445,31.5,11.493333333333336,1474.3933333333332,39.508891999999996,1.1070321666666667,402.03898550724637,562.2480303030303,1.0804234782608695,1.1195831818181818,0,0,Rest,4.3,19.0,5.0,14.78,14.0,0,1
